,PM2.5_pred,PM2.5_real,PM10_pred,PM10_real,NO2_pred,NO2_real,CO_pred,CO_real,SO2_pred,SO2_real,O3_8h_pred,O3_8h_real
657,35.379177,19.0,36.517757,34.0,39.626587,48.0,0.80044556,0.6,2.8825085,3.0,26.09799,26.0
658,275.27917,274.0,302.45886,298.0,97.786064,83.0,3.2582915,3.6,11.631925,17.0,5.5942054,11.0
659,1.6747187,9.0,28.878191,23.0,18.986187,15.0,0.24639302,0.2,2.2552717,3.0,97.20723,99.0
660,33.23909,25.0,43.691147,44.00000000000001,35.752716,38.0,0.6624254,0.7,3.2857356,3.0,137.50131,140.0
661,27.078262,24.0,74.19287,72.0,24.919863,24.0,0.31807217,0.4,3.8373315,4.0,113.96946,114.99999999999999
662,19.352163,11.0,27.429432,42.0,25.59774,20.0,0.34605554,0.3,0.50690734,2.0,70.403885,65.0
663,88.50994,64.0,144.01146,157.0,57.628494,63.0,0.9986347,1.1,5.2961855,4.0,141.27109,143.0
664,7.5653224,7.0,45.268875,46.0,17.564756,14.0,0.23348767,0.3,4.1254416,4.0,70.62381,71.0
665,3.841882,4.0,5.3200107,14.0,18.952492,8.0,0.17467281,0.2,-0.26880983,3.0,59.443737,63.0
666,33.86459,26.0,58.25385,48.0,34.938446,38.99999999999999,0.5640701,0.5,2.636383,3.0,46.677868,40.0
667,36.264404,24.0,48.791504,50.00000000000001,31.944149,37.0,0.725662,0.6,4.232219,5.0,136.5741,137.0
668,53.295322,50.0,76.972916,71.0,39.199013,44.0,0.843097,0.7,4.174179,5.0,49.98071,45.0
669,61.77111,62.99999999999999,124.45453,129.0,41.162373,44.0,0.7175505,0.6,8.10542,8.0,110.98469,111.0
670,147.97202,165.0,201.8032,189.0,74.72292,72.0,1.8009534,1.8,17.313698,18.0,52.66644,52.0
671,126.036125,132.0,145.27957,137.0,69.90546,69.0,1.6519144,1.6,5.471796,6.0,29.936794,34.0
672,27.978222,35.0,54.411366,51.0,32.686905,30.0,0.62745786,0.7,9.143624,8.0,65.51653,67.0
673,12.971958,7.0,21.00426,17.0,12.370829,5.0,0.31607422,0.3,-2.0690997,3.0,8.524679,0.0
674,0.41692272,11.0,37.900246,38.0,13.525516,9.0,0.27616245,0.2,2.4279232,2.0,79.79393,88.99999999999999
675,8.218343,11.0,46.620598,48.99999999999999,24.484829,18.0,0.2026493,0.4,4.390265,4.0,75.04522,75.0
676,93.23598,91.0,107.686714,104.0,35.579746,34.0,1.0997164,1.2,3.3213196,5.0,213.4739,210.0
677,20.352806,17.0,40.114487,44.00000000000001,29.666634,28.0,0.4737449,0.5,2.2460883,3.0,113.86092,113.0
678,71.704994,65.0,103.42253,107.0,53.151524,58.99999999999999,1.203725,1.2,10.898461,8.0,51.361748,53.99999999999999
679,56.429386,55.0,41.921944,32.0,43.050144,47.0,1.095354,1.0,2.9303546,3.0,34.225746,30.0
680,18.340357,22.0,36.1842,32.0,16.532936,13.000000000000002,0.66483593,0.9,4.1590157,3.0,97.67611,98.0
681,21.985556,28.0,60.16487,60.99999999999999,17.317368,15.0,0.47925296,0.5,4.060676,3.0,123.16414,126.99999999999999
